sr_no,date,name,industry,sub_vertical,city,investor,investment type,amount_usd,remarks,year,month,day
1,9/1/20,BYJU’S,E-TECH,E-learning,Bengaluru,TIGER GLOBAL MANAGEMENT,Private Equity Round,200000000,,2020,9,1
2,1/13/20,Shuttl,TRANSPORTATION,App based shuttle service,Gurgaon,SUSQUEHANNA GROWTH EQUITY,Series C,8048394,,2020,1,13
3,9/1/20,Mamaearth,E-COMMERCE,"Retailer of baby,toddler products",Bengaluru,SEQUOIA CAPITAL INDIA,Series B,18358860,,2020,9,1
4,2/1/20,https://www.wealthbucket.in/,FINTECH,Online Investment,New Delhi,VINOD KHATUMAL,Pre-series A,3000000,,2020,2,1
5,2/1/20,Fashor,"FASHION,APPAREL",Embroiled Clothes For Women,Mumbai,SPROUT VENTURE PARTNERS,Seed Round,1800000,,2020,2,1
6,1/13/20,Pando,LOGISTICS,"Open-market, freight management platform",Chennai,CHIRATAE VENTURES,Series A,9000000,,2020,1,13
7,10/1/20,Zomato,HOSPITALITY,Online Food Delivery Platform,Gurgaon,ANT FINANCIAL,Private Equity Round,150000000,,2020,10,1
8,12/12/19,Ecozen,TECHNOLOGY,Agritech,Pune,SATHGURU CATALYZER ADVISORS,Series A,6000000,,2019,12,12
9,6/12/19,CarDekho,E-COMMERCE,Automobile,Gurgaon,PING AN GLOBAL VOYAGER FUND,Series D,70000000,,2019,6,12
10,3/12/19,Dhruva Space,AEROSPACE,Satellite Communication,Bengaluru,"MUMBAI ANGELS, RAVIKANTH REDDY",Seed,50000000,,2019,3,12
11,12/13/19,Rivigo,TECHNOLOGY,"Logistics Services,Solutions",Gurgaon,"SAIF PARTNERS, SPRING CANTER INVESTMENT LTD.",Series F,20000000,,2019,12,13
12,12/17/19,Healthians,B2B-FOCUSED FOODTECH STARTUP,Food Solutions For Corporate,Bengaluru,"PAYTM, NPTK, SABRE PARTNERS,NEOPLUX",Series C,12000000,,2019,12,17
13,12/16/19,Licious,E-COMMERCE,Online Meat And Seafood Ordering Startup,Bengaluru,VERTEX GROWTH FUND,Series E,30000000,,2019,12,16
14,12/16/19,InCred,FINANCE,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000,,2019,12,16
15,12/14/19,Trell,VIDEO,Experience Discovery Platform,Bengaluru,RUIZHENG INVESTMENT,Seed Round,2000000,,2019,12,14
16,11/12/19,Rein Games,GAMING,Real money based gaming startup,Noida,"MANIPAL EDUCATION,MEDICAL GROUP (MEMG)",Seed Round,50000000,,2019,11,12
17,12/20/19,Lenskart.com,E-COMMERCE,Online Eyewear Shopping Portal,Faridabad,SOFTBANK VISION FUND,Series G,231000000,,2019,12,20
18,11/13/19,Freshworks,SOFTWARE,"Business,customer engagement tools",San Francisco,"SEQUOIA, CAPITALG, ACCEL",Series H,150000000,,2019,11,13
19,11/14/19,Misters,"HEALTH,WELLNESS","Men's Health,Wellness brand",Gurgaon,"SAUCE.VC, RAINFOREST VENTURES",Series B,486000,,2019,11,14
20,11/13/19,Sunstone Eduversity Pvt. Ltd,EDUCATION,Elearning,Gurgaon,"PRIME VENTURE PARTNERS, LETSVENTURE, PS1 VENTURE,GLOBALLOGIC CO-FOUNDER RAJUL GARG",Seed,1500000,,2019,11,13
21,11/17/19,Burger Singh,"FOOD,BEVERAGE",Indian Burger Brand,Gurgaon,RB INVESTMENTS,Venture,,,2019,11,17
22,11/18/19,Healthians,"HEALTH,WELLNESS",Healthcare services,Gurgaon,"DG DAIWA VENTURES, DG INCUBATION",Series B,12000000,,2019,11,18
23,11/15/19,Ninjacart,B2B MARKETING,Agritech,Bengaluru,TRIFECTA CAPITAL ADVISORS,Debt Funding,26000000,,2019,11,15
24,11/20/19,Aye Finance,FINTECH,Financial Services To MSMEs,Gurgaon,FINTECH,Debt Funding,17411265,,2019,11,20
25,12/11/19,SuperGaming,VIDEO GAMES,Social gaming platform,Pune,DREAM INCUBATOR,Seed Funding,1300000,,2019,12,11
26,11/20/19,Clumio,SAAS,Recovery software,"San Jose,","ALTIMETER CAPITAL, SUTTER HILL VENTURES",Series C,135000000,,2019,11,20
27,11/11/19,eBikeGo,LAST MILE TRANSPORTATION,Electric bike rental,Amritsar,STARTUP BUDDY,Seed,300000,,2019,11,11
28,11/19/19,Digital Mall Asia,E-COMMERCE,Virtual e-commerce platform,Delhi,AMOUR INFRASTRUCTURE,Seed Funding,220000000,,2019,11,19
29,11/18/19,Medikabazaar,HEALTHCARE,B2B platform for medical supplies,Mumbai,"ACKERMANS,VAN HAAREN, HEALTHQUAD, REBRIGHT PARTNERS, TOPPAN PRINTING",Series B,15800000,,2019,11,18
30,11/15/19,Vogo Automotive,LAST MILE TRANSPORTATION,Scooter sharing app,Kormangala,"MATRIX PARTNERS, STELLARIS VENTURE PARTNERS, KALAARI CAPITAL",Series B,283000000,,2019,11,15
31,11/19/19,Furtados School of Music,EDUCATION,Music Education,Tulangan,"IAN FUND,DSG CONSUMER PARTNERS",,200000000,,2019,11,19
32,11/25/19,Paytm,FINTECH,Mobile Wallet,Noida,VIJAY SHEKHAR SHARMA,Funding Round,1000000000,,2019,11,25
33,4/10/19,Dunzo,CUSTOMER SERVICE,Delivery Service,Bengaluru,LIGHTBOX,Series D,45000000,,2019,4,10
34,2/10/19,Udaan,B2B,Business development,Bengaluru,"ALTIMETER CAPITAL, DST GLOBAL",Series D,585000000,,2019,2,10
35,10/21/19,The Man Company,CONSUMER GOODS,"Beauty,Grooming",Gurgaon,AYUSHMANN KHURANA,Corporate Round,,,2019,10,21
36,5/9/19,FPL Technologies,FINTECH,Financial Services,Pune,"MATRIX PARTNERS INDIA, SEQUOIA INDIA",Maiden Round,4500000,,2019,5,9
37,4/9/19,Cashflo,FINTECH,"Invoice discounting platform,SME lending marketplace",Mumbai,SAIF PARTNERS,Series A,3300000,,2019,4,9
38,4/9/19,Digital F5,"ADVERTISING, MARKETING",Digital marketing firm,Mumbai,TIW PRIVATE EQUITY,Private Equity Round,6000000,,2019,4,9
39,4/9/19,3rdFlix,SAAS,Education Technology,Hyderabad,EXFINITY VENTURE PARTNERS,pre-series A,5000000,,2019,4,9
40,4/9/19,75F,IOT,Building automation system,Burnsville,BREAKTHROUGH ENERGY VENTURES,Series A,18000000,,2019,4,9
41,4/9/19,Myelin Foundry,INFORMATION TECHNOLOGY,Deep-technology,Bengaluru,ENDIYA PARTNERS,Seed,1000000,,2019,4,9
42,4/9/19,Atomberg Technology,CONSUMER TECHNOLOGY,"Consumer Electronics, Home Appliances",Mumbai,A91 PARTNERS,Series A,10000000,,2019,4,9
43,4/9/19,GOQii,"HEALTH,WELLNESS",Wearable Fitness Bands,Menlo Park,BENNETT COLEMAN COMPANY LTD (BCCL),Series C,450000000,,2019,4,9
44,3/9/19,Vyapar App,ACCOUNTING,Mobile-based Accounting Software,Bengaluru,"INDIA QUOTIENT, AXILOR VENTURES",Series A,5000000,,2019,3,9
45,1/8/19,CarDekho,E-COMMERCE,Automotive,Gurgaon,SC GG INDIA MOBILITY HOLDINGS LLC,Series C,20000000,,2019,1,8
46,1/8/19,Progcap,FINANCE,Supply Chain Management,New Delhi,SEQUOIA INDIA,Series A,5000000,,2019,1,8
47,1/8/19,MyPetrolPump,RETAIL,Fuel Delivery,Bengaluru,,Seed Funding Round,1600000,,2019,1,8
48,1/8/19,Alteria Capital,FINANCE,VC Funds,Mumbai,"AZIM PREMJI, BINNY BANSAL",Single Venture,140000000,,2019,1,8
49,1/8/19,Pine Labs,INFORMATION TECHNOLOGY,Last-mile retail transaction technology,Noida,PINE LABS PTE LTD,Corporate Round,38080000,,2019,1,8
50,12/8/19,Meesho,E-COMMERCE,Social Commerce,Bengaluru,NASPERS,Series D,125000000,,2019,12,8
51,8/13/19,Cars24,E-COMMERCE,Car Retail,Gurugram,MS DHONI,Series D,11000000,,2019,8,13
52,8/13/19,Uniphore,CUSTOMER SERVICE PLATFORM,Conversational AI,Palo Alto,MARCH CAPITAL PARTNERS,Series C,51000000,,2019,8,13
53,8/23/19,Zendrive,AUTOMOTIVE,Road Safety Analytics,San Francisco,XL INNOVATE,Series B,37000000,,2019,8,23
54,8/23/19,Lo! Foods,CONSUMER GOODS,Low carb food for Diabetics,Bengaluru,"RASHMI DAGA (FOUNDER, FRESHMENU), RAVEEN SASTRY (CO-FOUNDER, MYNTRA),MITESH SHAH (FINANCE CHIEF, BOOKMYSHOW)",Seed Round,500000,,2019,8,23
55,8/23/19,Tala,FINTECH,Digital Lending Platform,Santa Monica,RPS VENTURES,Series D,110000000,,2019,8,23
56,8/22/19,INDwealth,FINTECH,Wealth Management,Gurgaon,TIGER GLOBAL MANAGEMENT,Venture Round,15000000,,2019,8,22
57,8/21/19,HungerBox,"FOOD,BEVERAGE",B2B Foodtech,Bengaluru,ONE97 COMMUNICATIONS LTD.,Series C,6590000,,2019,8,21
58,8/23/19,AdmitKard,EDTECH,University Admissions,Noida,GROWTH DNA,Seed Round,1000000,,2019,8,23
59,8/19/19,Mishry Reviews,SERVICES,Product Review,Gurgaon,VIR SANGHVI,Series A,,,2019,8,19
60,8/19/19,Grofers,E-COMMERCE,Grocery Delivery,Gurgaon,SOFTBANK VISION FUND,Series F,70000000,,2019,8,19
61,8/27/19,Rapido Bike Taxi,TRANSPORTATION,Bike Taxi,Bengaluru,WESTBRIDGE CAPITAL,Series B,3900000000,,2019,8,27
62,2/7/19,RenewBuy,FINANCE,Auto Insurance,Gurgaon,"LOK CAPITAL, IIFL WEALTH",Series B,19000000,,2019,2,7
63,2/7/19,Atlan,INFORMATION TECHNOLOGY,Big Data,Singapore,WATERBRIDGE VENTURES,Pre-Series A,2500000,,2019,2,7
64,1/7/19,WizCounsel,COMPLIANCE,Consulting,New Delhi,KAPIL DEV,Angel,145000,,2019,1,7
65,3/7/19,Ola Cabs,TRANSPORT,Cabs,Kormangala,"DIG INVESTMENT AB, DESHE HOLDINGS, SAMIH TOUKAN,HUSSAM KHOURY",Series J,1000000,,2019,3,7
66,1/7/19,Uniphore,ARTIFICIAL INTELLIGENCE,Speech Recognition,Taramani,MARCH CAPITAL PARTNERS,Series C,38080000,,2019,1,7
67,4/7/19,Daalchini Technologies,"FOOD,BEVERAGE",Digital Vending Machine,New Delhi,ARTHA VENTURE,Seed Round,500000,,2019,4,7
68,10/7/19,"""BYJU\\'S""",EDTECH,Education,Bengaluru,QATAR INVESTMENT AUTHORITY,Private Equity Round,150000000,,2019,10,7
69,11/7/19,Moglix,E-COMMERCE,"Industrial Tools,Equipments",Singapore,"COMPOSITE CAPITAL MANAGEMENT, SEQUOIA CAPITAL INDIA, TIGER GLOBAL MANAGEMENT",Series D,60000000,,2019,11,7
70,10/7/19,Ezyhaul,TECH,Logistics,Singapore,UNDISCLOSED,Series B,16000000,,2019,10,7
71,10/7/19,Indus OS,TECH,Smartphone Operating System,Andheri,VENTUREAST,Series B,5750000,,2019,10,7
72,10/7/19,HealthAssure,HEALTH CARE,Primary care medical network,Mumbai,BLUME VENTURES,Series A,2500000,,2019,10,7
73,9/7/19,House of Msasaba,LUXURY LABEL,"Clothes,Apparel",Mumbai,BINNY BANSAL,Series A,1000000,,2019,9,7
74,8/7/19,Board Infinity,EDTECH,Full-stack career platform,Chembur,MULTIPLE ANGEL INVESTORS,Angel Round,319605,,2019,8,7
75,5/6/19,NoBroker,E-COMMERCE,Real Estate,Bengaluru,GENERAL ATLANTIC,Series C,51000000,,2019,5,6
76,4/6/19,Bira91,"FOOD,BEVERAGE",Brewery,New Delhi,ANICUT CAPITAL,Debt Funding,10000000,,2019,4,6
77,3/6/19,FabHotels,E-COMMERCE,Hospitality,Gurgaon,"GOLDMAN SACHS, ACCEL PARTNERS,QUALCOMM",,4889975.54,,2019,3,6
78,3/6/19,Avail Finance,FINANCE,FinTech,Bengaluru,MATRIX PARTNERS,Series A,9000000,,2019,3,6
79,4/6/19,BharatPe,FINANCE,FinTech,New Delhi,INSIGHT PARTNERS,Series B,75000000,,2019,4,6
80,4/6/19,Recykal,WASTE MANAGEMENT SERVICE,Optimization,Hyderabad,"TRITON INVESTMENT ADVISORS, PIDILITE INDUSTRIES DIRECTOR AJAY PAREKH",pre-Series A,26000000,,2019,4,6
81,3/6/19,Agara Labs,DEEP-TECH,Artificial Intelligence,Bengaluru,"BLUME VENTURES,RTP GLOBAL",pre-Series A,2500000,,2019,3,6
82,6/6/19,Sistema.bio,AGRICULTURE,Hybrid Reactor Biodigestor,Nairobi,"SHELL FOUNDATION, DILA CAPITAL, ENGIE RDE FUND, ECOENTERPRISE FUND, EDFIMC (ELECTRIFI), ENDEAVOR CATALYST FUND, COCAPITAL, TRIODOS, ALPHA MUNDI,,LENDAHAND",,2739034.68,,2019,6,6
83,6/6/19,Chakr Innovation,ENERGY,Renewable Energy,New Delhi,IAN FUND,Series A,26000000,,2019,6,6
84,6/6/19,Pratilipi,DIGITAL MEDIA,E-Books,Bengaluru,QIMING VENTURE PARTNERS,Series B,15109500,,2019,6,6
85,10/6/19,Bolo App,DIGITAL MEDIA,Video Platform,Bengaluru,NEXUS VENTURE PARTNERS,Seed Funding,430200,,2019,10,6
86,10/6/19,OkCredit,FINTECH,Financial Services,Haryana,TIGER GLOBAL MANAGEMENT,Series A,15500000,,2019,10,6
87,6/6/19,Biz2Credit,FINTECH,Online Lending Platform,New York,WESTBRIDGE CAPITAL,Series B,52000000,,2019,6,6
88,8/6/19,Vogo Automotive Pvt. Ltd.,TRANSPORTATION,Dockless Scooter Rental Company,Karnataka,ALTERIA CAPITAL,Debt Funding,3584000,,2019,8,6
89,4/6/19,Leegality,SERVICES,Digital Documentation,Mumbai/Bengaluru,MUMBAI ANGELS,Series A,3400000,,2019,4,6
90,6/5/19,Ola Electric,TRANSPORT,Cabs,Bengaluru,TATA SONS,Series A,,,2019,6,5
91,6/5/19,Saahas Zero Waste,WASTE MANAGEMENT SERVICE,Optimization,Bengaluru,C4D PARTNERS,Venture - Series Unknown,868600,,2019,6,5
92,5/5/19,StyleDotMe,E-COMMERCE,"Fashion,Shopping",Delhi,"INDIAN ANGEL NETWORK,OTHER ANGEL INVESTORS, INNOV8 FOUNDER RITESH MALIK, JOSH TALKS FOUNDERS SUPRIYA PAUL,SHOBHA BANGA,,FORMER HERO CORPORATE PRESIDENT ROHIT CHANANA",Bridge Round,,,2019,5,5
93,1/5/19,BlackBuck,TRANSPORT,Logistics,Bengaluru,"GOLDMAN SACHS INVESTMENT PARTNERS,SILICON VALLEY-BASED ACCEL, WELLINGTON, SEQUOIA CAPITAL, B CAPITAL, LIGHTSTREET, SANDS CAPITAL,INTERNATIONAL FINANCE CORPORATION,",Series D,150000000,,2019,1,5
94,2/5/19,Zenoti,SAAS,"Beauty,Wellness Industry",Hyderabad,TIGER GLOBAL MANAGEMENT,Series C,50000000,,2019,2,5
95,5/28/19,Ather Energy,AUTOMOBILE,Electric Vehicle,Bengaluru,SACHIN BANSAL,Series C,51000000,,2019,5,28
96,5/28/19,FreshVnF,AGTECH,Fresh Agriculture Produces,Mumbai,EQUANIMITY VENTURES,Seed Round,140000000,,2019,5,28
97,5/30/19,GlowRoad,E-COMMERCE,Retail,Bengaluru,"KOREA INVESTMENT PARTNERS, VERTEX VENTURES",Series B,11500000,,2019,5,30
98,5/31/19,Bira91,"FOOD,BEVERAGE",Brewery,New Delhi,SIXTH SENSE VENTURES,Series B,5600000,,2019,5,31
99,4/16/19,Kuvera,FINANCE,Wealth Management,Bengaluru,EIGHT ROADS,Series A,45000000,,2019,4,16
100,12/4/19,Medlife,E-COMMERCE,Online Medicine,Bengaluru,PRASID UNO FAMILY TRUST,Private Equity,17000000,,2019,12,4
101,10/4/19,Kabadiwala,E-COMMERCE,Waste Management,Bhopal,"UNILEVER, BEEHIVE CAPITAL ADVISOR, ABCOM INVESTMENTS, PAREKH MARINE TRANSPORT,",Private Equity,430665,,2019,10,4
102,4/13/19,Tripoto,SOCIAL MEDIA,Travel,New Delhi,"ORCHID INDIA, HORNBILL ORCHID INDIA FUND, CHIRATAE VENTURES (FORMERLY IDG VENTURES), 3ONE4 CAPITAL, LASMER NV",Series B,3591375,,2019,4,13
103,12/4/19,Azah,"HEALTH,WELLNESS",Organic wellness,Gurugram,UNNAMED ANGEL INVESTORS,Seed Funding,200000,,2019,12,4
104,11/4/19,Setu,FINTECH,Banking,Bengaluru,LIGHTSPEED INDIA PARTNERS,Seed Funding,3500000,,2019,11,4
105,10/4/19,Toppr,EDTECH,E-learning,Mumbai,MILESTONE,"Debt,Preference capital",6320820,,2019,10,4
106,10/4/19,Craftsvilla,E-COMMERCE,"Fashion,Apparel",Mumbai,SUPERA PTE LTD,Inhouse Funding,2443495,,2019,10,4
107,10/4/19,Unacademy,EDTECH,E-learning,Bengaluru,KALYAN KRISHNAMURTHY,Seed/ Angel Funding,307000,,2019,10,4
108,11/4/19,CleverTap,SAAS,"Mobile analytics,marketing",Mumbai,"SEQUOIA INDIA, TIGER GLOBAL MANAGEMENT, ACCEL PARTNERS",Series B,26000000,,2019,11,4
109,4/19/19,My Healthcare,E-COMMERCE,Software Solutions,"Bengaluru,Gurugram",SIXTH SENSE VENTURES,Series A,3000000,,2019,4,19
110,4/19/19,KrazyBee,E-COMMERCE,Lending Platform,Bengaluru,"BAC ACQUISITIONS, UNIFI AIF, BRD SECURITIES, NORTHERN R CAPITAL",Debt,,,2019,4,19
111,4/17/19,Shuttl,TRANSPORTATION,Bus Aggregation,Gurugram,NEW ATLANTIC VENTURES,Venture Round,5000000,,2019,4,17
112,4/17/19,Increff,TECHNOLOGY,Supply-chain technology solutions,Bengaluru,"021 CAPITA, BINNY BANSAL",Series A,3000000,,2019,4,17
113,1/2/19,FleetX,AI,Logistics,Gurgaon,"INDIA QUOTIENT,LETSVENTURES ANGEL FUND",Pre Series A,,,2019,1,2
114,8/2/19,Zilingo,ECOMMERCE,"Fashion,Apparel",India/Singapore,"SEQUOIA CAPITAL,TEMASEK HOLDINGS, EDBI, BURDA PRINCIPAL INVESTMENTS,,SOFINA",Series D,226000000,,2019,8,2
115,2/13/19,NanoClean Global,NANOTECHNOLOGY,Anti-Pollution,New Delhi,"LETSVENTURE, PITCHRIGHT VENTURE, 91SPRINGBOARD, AL NOUR INTERNATIONAL HOLDINGS,MARK V INVESTMENTS",Series A,600000,,2019,2,13
116,2/14/18,OyoRooms,HOSPITALITY,Budget Rooms,Gurgaon,DIDI CHUXING,Equity,100000000,,2018,2,14
117,3/1/19,CarDekho,AUTOMOBILE,Online Marketplace,Jaipur,"SEQUOIA INDIA, HILLHOUSE CAPITAL, ALPHABETS GROWTH INVESTMENT ARM CAPITAL G,AXIS BANK",Series C,110000000,,2019,3,1
118,4/1/19,Vyome Therapeutics Inc.,"HEALTH,WELLNESS",Specialty pharmaceutical,India/US,"IRON PILLAR, PERCEPTIVE ADVISORS, ROMULUS CAPITAL,KALAARI CAPITAL",Series D,22000000,,2019,4,1
119,4/1/19,"Samunnati Financial Intermediation,Services Pvt. Ltd",FINANCE,Non-banking financial company,Chennai,"MASSIF, A DUTCH GOVERNMENT FUND",Debt-Funding,5000000,,2019,4,1
120,4/12/18,Manch,SOCIAL MEDIA,Hyperlocal Content,Delhi,STELLARIS VENTURE PARTNERS,Seed Funding,700000,,2018,4,12
121,1/12/18,UrbanClap Technologies Pvt. Ltd,SERVICES PLATFORM,Home services marketplace,New Delhi,"STEADVIEW CAPITAL,VY CAPITAL.",Series D,50000000,,2018,1,12
122,2/12/18,Guiddoo,TRAVEL TECH,Platform for travel agents,Mumbai,INDIVIDUAL INVESTORS,Pre-Series A,800000,,2018,2,12
123,2/12/18,Career Anna,ONLINE EDUCATION,"Video-based certification, trainings",Gurugram,INDIVIDUAL INVESTORS,Pre-Series A,572000,,2018,2,12
124,4/12/18,Nagpur Wholesale,ONLINE MARKETPLACE,eCommerce,Nagpur,OMPHALOS VENTURES INDIA LLP,Seed Funding,143000,,2018,4,12
125,6/12/18,ShopKirana,B2B,eCommerce,Indore,"INFO EDGE, AET FUND, AKATSUKI,INCUBATE FUND FROM JAPAN,BETTER CAPITAL ANGELLIST SYNDICATE.",Seed Funding,2000000,,2018,6,12
126,6/12/18,BuildSupply,"SAAS, ECOMMERCE","Real Estate, ERP",Gurugram,"VENTURE HIGHWAY, GREE VENTURES, SPACE MATRIX, INDIVIDUAL INVESTORS",Series A,3500000,,2018,6,12
127,1/11/18,GoDesi,"FOOD,BEVERAGE",Regional Flavours,Bengaluru,LEAD ANGELS NETWORK,Seed/ Angel Funding,138995,,2018,1,11
128,3/11/18,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"NORWEST VENTURE PARTNERS, CDC GROUP, THE UKS DEVELOPMENT FINANCE INSTITUTION,P SURENDRA PAI",Series D,27799000,,2018,3,11
129,6/11/18,Meesho,ECOMMERCE,Social Commerce,Bengaluru,"SHUNWEI CAPITAL, DST PARTNERS,RPS VENTURES",Series C,50000000,,2018,6,11
130,8/11/18,Mobile Premier League,GAMING,Mobile e-Sports,Bengaluru,UNDISCLOSED,Series A,500000,,2018,8,11
131,8/11/18,A&R Bon Vivants,FOOD,Meat Retail Chain,Jaipur,"RB INVESTMENTS, SINGAPORE",Equity,1000000,,2018,8,11
132,12/11/18,Blackbuck,FOOD TECH,POS For Online Ordering,"New York, Bengaluru",TIGER GLOBAL,Series A,1000000,,2018,12,11
133,12/11/18,MilkBAsket,FOOD,Micro-delivery grocery service,New Delhi,MAYFIELD FUND,Series B,1300000,,2018,12,11
134,11/13/18,DriveU,TRANSPORT,On-Demand Drivers,Bengaluru,STEVENS CREEK VENTURES,Mezzanine,1000000,,2018,11,13
135,11/14/18,CleanseCar,SERVICES,Car Wash,Bengaluru,VENTURE CATALYSTS,Seed/ Angel Funding,500000,,2018,11,14
136,11/19/18,Automation Anywhere,AUTOMATION,Robotics,California,SOFTBANK VISION FUND,Series B,300000000,,2018,11,19
137,11/20/18,HealthifyMe,"HEALTH,WELLNESS",Wellness Coach,Bengaluru,"SISTEMA ASIA FUND, VC SAMSUNG NEXT, CHIRATAE VENTURES, INVENTUS CAPITAL, BLUME VENTURES,INNOVEN CAPITAL.",Series B (Extension),6000000,,2018,11,20
138,11/21/18,Genius Corner,EDUCATION,Personalized Learning,Noida,INDIVIDUAL INVESTORS,Seed Funding,278000,,2018,11,21
139,11/22/18,Aavishkaar-Intellecap Group,INVESTMENT,SME Funding,Mumbai,"TEACHERS INSURANCE,ANNUITY ASSOCIATION (TIAA)",Equity Based Funding,31000000,,2018,11,22
140,11/22/18,Skillbox,SOCIAL NETWORK,Art,Gurugram,INDIVIDUAL INVESTORS,Seed Funding,,,2018,11,22
141,11/23/18,Signzy,FINANCIAL TECH,Digital Onboarding Solution,Mumbai/Bengaluru,"STELLARIS VENTURE PARTNERS,KALAARI CAPITAL, RAJAN ANANDAN FROM GOOGLE, DILIP KHANDWELWAL FROM SAP LABS INDIA,,AMRISH RAU FROM PAYU INDIA",Series A,3400000,,2018,11,23
142,11/24/18,Engineer.ai,SOFTWARE,AI Platform,India/US,"LAKESTAR,JUNGLE VENTURES, SOFTBANKS DEEPCORE.",Series A,29500000,,2018,11,24
143,11/25/18,InCred Finance,FINANCE,SME Lending,India,"PARAGON PARTNERS, INDIVIDUAL INVESTORS",Private Equity,42000000,,2018,11,25
144,11/25/18,Roposo,SOCIAL MEDIA,Video Sharing,Delhi,BERTELSMANN INDIA INVESTMENTS,Series B,1700000,,2018,11,25
145,1/10/18,Northmist,FASHION,Mens Wear,Delhi,PRASHANT JAISWAL,Seed/ Angel Funding,,,2018,1,10
146,2/10/18,Origo Commodities India Pvt. Ltd,LOGISTICS,Supply Chain,Hyderabad,"COOPERATIVE OIKOCREDIT, CASPIAN,HIVOS-TRIODOS FUND",Seed/ Angel Funding,11000000,,2018,2,10
147,4/10/18,Grover Zampa,FOOD,Wine,Mumbai,RAVI VISWANATHAN,Private Equity,8200000,,2018,4,10
148,5/10/18,Droom,AUTOMOBILE,"New,Used Cars Platform",Gurgaon,ZIGEXN,Series E,3000000,,2018,5,10
149,11/10/18,Innov8,REAL ESTATE,Co-Working,New Delhi,CREDENCE FAMILY OFFICE,Pre-Series A,4000000,,2018,11,10
150,12/10/18,Blackbuck,LOGISTICS TECH,Largest Trucking Platform,Bengaluru,SEQUOIA CAPITAL INDIA,Private Funding,14680000,,2018,12,10
151,12/10/18,LetsTransport,LOGISTICS TECH,Book Trucks Online,Bengaluru,FOSUN INTERNATIONAL,Series C,12000000,,2018,12,10
152,1/9/18,Netmeds,CONSUMER INTERNET,Online Pharmacy Chain,Chennai,"SISTEMA ASIA FUND, SISTEMA JSFC,TANNCAM INVESTMENT",Private Equity,35000000,,2018,1,9
153,3/9/18,Udaan,B2B PLATFORM,"Logistics,Shipping",Bengaluru,"DST GLOBAL,LIGHTSPEED VENTURE PARTNERS GLOBAL FUND.",Private Equity,225000000,,2018,3,9
154,3/9/18,Daily hunt,CONSUMER INTERNET,"News,ebooks Mobile App",Bengaluru,FALCON EDGE,Private Equity,6390000,,2018,3,9
155,4/9/18,3HCare,HEALTHCARE,Healthcare Service Provider,Delhi,,Seed / Angel Funding,1000000,,2018,4,9
156,4/9/18,HappyGoEasy,CONSUMER INTERNET,Online Travel Agecy,Gurugram,"KOREA INVESTMENT PARTNERS (KIP), SAMSUNG,CHINA-BASED CITIC CAPITAL,OTHERS",Private Equity,,,2018,4,9
157,5/9/18,Nykaa,CONSUMER INTERNET,"Online Marketplace For Multi-brand Beauty Cosmetic,Wellness Products",Mumbai,LIGHTHOUSE,Private Equity,157200000,,2018,5,9
158,5/9/18,Mad Street Den,TECHNOLOGY,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,,,2018,5,9
159,6/9/18,Dream11,CONSUMER INTERNET,Online Gaming Platform,Mumbai,"TENCENT, KALAARI CAPITAL,PRIVATE EQUITY FIRM MULTIPLES ALTERNATE ASSET MANAGEMENT",Private Equity,100000000,,2018,6,9
160,10/9/18,MamaEarth,HEALTHCARE,"Online Marketplace For Mother,Babycare Products",Gurugram,"STELLARIS VENTURES,OTHERS",Private Equity,4000000,,2018,10,9
161,11/9/18,AutoGrid,TECHNOLOGY,"AI-Based Energy Optimisation,Control Provider",Bengaluru,"CLP HOLDINGS GROUP, INNOGY, RSTEAD,,TENASKA",Private Equity,32000000,,2018,11,9
162,11/9/18,Pharmeasy,CONSUMER INTERNET,Online Marketplace For Pharmaceutical Products,Mumbai,INNOVEN CAPITAL,Debt Funding,5500000,,2018,11,9
163,11/9/18,Upwards,FIN-TECH,Online Micro Lending Marketplace,Mumbai,"SHUNWEI CAPITAL,QUOTIENT, MAYFIELD,OTHERS",Private Equity,5000000,,2018,11,9
164,12/9/18,Kissht,FIN-TECH,Online lending Platform,Mumbai,"VERTEX VENTURES SOUTHEAST ASIA (SEA),INDIA,SISTEMA ASIA FUND, FOSUN RZ CAPITAL, VENTUREAST,,ENDIYA PARTNERS.",Private Equity,30000000,,2018,12,9
165,1/8/18,dishq,FOOD-TECH,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"FARM TO FORK, ARTS ALLIANCE, THE SYNDICATE FUND, SVEN HENSEN, ZEROTH,ARTESIAN VENTURE PARTNERS",Seed/ Angel Funding,400000,,2018,1,8
166,1/8/18,HealthFin,FINANCE,Patient Financing Platform,Pune,"AXILOR, SPROUT VENTURE PARTNERS,OTHERS",Seed/ Angel Funding,,,2018,1,8
167,2/8/18,Samosa Labs,CONSUMER INTERNET,"Social Media,Chat Entertainment Platform",Hyderabad,"XIAOMI,SEQUOIA CAPITAL INDIA",Private Equity,7000000,,2018,2,8
168,3/8/18,ZiffyHomes,CONSUMER INTERNET,Online Home Rental Marketplace,Gurugram,Y COMBINATOR,Private Equity,120000,,2018,3,8
