sr_no,date,name,industry,sub_vertical,city,investor,investment type,amount_usd,remarks,year,month,day
1402,9/27/16,Canvs,CONSUMER INTERNET,"Community Platform for Artists,Designers",Mumbai,PRATIK SEAL,Seed Funding,,,2016,9,27
1403,9/28/16,Beardo,ECOMMERCE,Mens Grooming products etailer,Ahmedabad,VENTURE CATALYSTS,Seed Funding,500000,,2016,9,28
1404,9/28/16,Instacar,CONSUMER INTERNET,Out-Station Taxi Rental Platform,Indore,SWASTIKA CO LTD.,Seed Funding,1000000,,2016,9,28
1405,9/28/16,Celes Care,CONSUMER INTERNET,Virtual Health Clinic for Women,Hyderabad,ENDIYA PARTNERS,Seed Funding,1000000,,2016,9,28
1406,9/28/16,Druva,TECHNOLOGY,Cloud Based Data Protection Solution,Pune,"SEQUOIA INDIA, EDBI, BLUE CLOUD VENTURES, HERCULES CAPITAL",Private Equity,51000000,,2016,9,28
1407,9/29/16,Promon,ECOMMERCE,Local Commerce Platform,New Delhi,NOW CAPITAL,Seed Funding,180000,,2016,9,29
1408,9/29/16,Fastudent,ECOMMERCE,Education eCommerce platform,Noida,"KANWALJIT SINGH, AJAY LAKHOTIA, PAVAN ONGOLE, ASHISH GUPTA",Seed Funding,,,2016,9,29
1409,9/29/16,Unocoin,CONSUMER INTERNET,Bitcoin Wallet,Bangalore,"BLUME VENTURES, MUMBAI ANGELS, AH! VENTURES, DIGITAL CURRENCY GROUP, BOOST VC, BANK TO THE FUTURE,FUNDERS CLUB",Private Equity,1500000,,2016,9,29
1410,9/30/16,Demyto,CONSUMER INTERNET,Vehicle maintenance Services platform,Pune,DEEPAK NATHANI,Seed Funding,,,2016,9,30
1411,9/30/16,Zeta,TECHNOLOGY,Enterprise Cloud Solutions,Mumbai,BHAVIN TURAKHIA,Private Equity,19000000,,2016,9,30
1412,9/30/16,Kalaage,CONSUMER INTERNET,Social Networking Platform for Writers,Jaipur,RAJASTHAN ANGEL INNOVATORS NETWORK,Seed Funding,,,2016,9,30
1413,1/8/16,HealthKart,ECOMMERCE,"Online Pharmacy,Health Marketplace",Gurgaon,"SEQUOIA CAPITAL INDIA, OMIDYAR NETWORK, KAE CAPITAL",Private Equity,12000000,,2016,1,8
1414,1/8/16,Medinfi,CONSUMER INTERNET,"Doctor,Clinic Discovery Platform",Bangalore,"MUDIT SAXENA, EVAN LIM",Seed Funding,200000,,2016,1,8
1415,1/8/16,RepairEasy,CONSUMER INTERNET,Gadget Repair Services Platform,Pune,UNDISCLOSED HNIS,Seed Funding,275000,,2016,1,8
1416,1/8/16,Voonik,ECOMMERCE,Online Womens Fashion Marketplace,Bangalore,INNOVEN CAPITAL,Private Equity,3000000,,2016,1,8
1417,1/8/16,Tokri,CONSUMER INTERNET,Hyperlocal Grocery Delivery platform,Pune,SYSKA LED GROUP,Private Equity,2500000,,2016,1,8
1418,2/8/16,Sheroes,CONSUMER INTERNET,"Online Job,Career Platform for Women",Noida,"LUMIS PARTNERS, THE HR FUND, RAJUL GARG, QUINTILLION MEDIA",Private Equity,1800000,,2016,2,8
1419,2/8/16,Daily Ninja,CONSUMER INTERNET,Hyperlocal daily needs Products delivery platform,Bangalore,"VENK KRISHNAN, APRAMEYA RADHAKRISHNA, ANUPAM MITTAL, KUNAL SHAH, TRACXN LABS, SUBRAMANYA SV, RAVI GARKIPATI",Seed Funding,,,2016,2,8
1420,2/8/16,Yumlane,"FOOD,BEVERAGE","Retail Food,Snack Offline centres",Mumbai,"BINNY BANSAL, ANUPAM MITTAL, SACHIN BHATIA, DARIUS PANDOLE, KUNAL KHATTAR, DHEERAG JAIN",Seed Funding,1000000,,2016,2,8
1421,3/8/16,Xcode,HEALTHCARE,Personal Genomics,Chennai,ROUNDGLASS PARTNERS,Private Equity,,,2016,3,8
1422,3/8/16,ExtraCarbon,CONSUMER INTERNET,Waste Recycle Management platform,Gurgaon,BRAND CAPITAL,Seed Funding,225000,,2016,3,8
1423,3/8/16,FlickBay,CONSUMER INTERNET,Mobile Based Bollywood Discovery platform,Mumbai,PAUL ROY,Seed Funding,890000,,2016,3,8
1424,4/8/16,Petoo,CONSUMER INTERNET,Food Delivery Platform,Bangalore,EXISTING INVESTORS,Seed Funding,500000,,2016,4,8
